Net_struct,Net_setup,Sample,L,relative_err
DNN,[32 32 32 32 32],"[0, 0, 0, 500]",7,0.0011176704
DNN,[32 32 32 32 32],"[0, 0, 0, 500]",9,0.00018599577
DNN,[32 32 32 32 32],"[0, 0, 0, 500]",11,0.0008798882
DNN,[32 32 32 32 32],"[0, 0, 0, 500]",13,0.00013272678
DNN,[32 32 32 32 32],"[0, 0, 0, 500]",15,0.00061907514
DNN,[32 32 32 32 32],"[0, 0, 0, 500]",17,0.00016540843
DNN,[32 32 32 32 32],"[0, 0, 0, 500]",19,0.000101111495
DNN,[32 32 32 32 32],"[0, 0, 0, 500]",21,0.00021749942
DNN,[32 32 32 32 32],"[0, 0, 0, 500]",23,0.00042456642
DNN,[32 32 32 32 32],"[0, 0, 0, 500]",25,0.00351542
DNN,[32 32 32 32 32],"[0, 0, 0, 500]",27,0.00046927147
DNN,[32 32 32 32 32],"[0, 0, 0, 500]",29,0.0002267287
DNN,[32 32 32 32 32 32],"[0, 0, 0, 500]",1,0.479261
DNN,[32 32 32 32 32 32],"[0, 0, 0, 500]",3,0.140293
DNN,[32 32 32 32 32 32],"[0, 0, 0, 500]",5,0.017002072
DNN,[32 32 32 32 32 32],"[0, 0, 0, 500]",7,0.001067824
DNN,[32 32 32 32 32 32],"[0, 0, 0, 500]",9,0.0006838175
DNN,[32 32 32 32 32 32],"[0, 0, 0, 500]",11,0.00039610502
DNN,[32 32 32 32 32 32],"[0, 0, 0, 500]",13,0.0026051921
DNN,[32 32 32 32 32 32],"[0, 0, 0, 500]",15,0.0001660458
DNN,[32 32 32 32 32 32],"[0, 0, 0, 500]",17,0.00016476981
DNN,[32 32 32 32 32 32],"[0, 0, 0, 500]",19,0.0005148199
DNN,[32 32 32 32 32 32],"[0, 0, 0, 500]",21,0.00013316804
DNN,[32 32 32 32 32 32],"[0, 0, 0, 500]",23,0.00011229945
DNN,[32 32 32 32 32 32],"[0, 0, 0, 500]",25,0.00011223145
DNN,[32 32 32 32 32 32],"[0, 0, 0, 500]",27,0.00016587117
DNN,[32 32 32 32 32 32],"[0, 0, 0, 500]",29,0.00060828956
Res,[32 32 32],"[0, 0, 0, 500]",1,0.4792608
Res,[32 32 32],"[0, 0, 0, 500]",3,0.14017552
Res,[32 32 32],"[0, 0, 0, 500]",5,0.017002134
Res,[32 32 32],"[0, 0, 0, 500]",7,0.001073719
