Net_struct,Net_setup,Sample,L,relative_err
DNN,[32 32 32 32 32],"[0, 0, 0, 500]",1,0.025293045
DNN,[32 32 32 32 32],"[0, 0, 0, 500]",3,0.0010642555
DNN,[32 32 32 32 32],"[0, 0, 0, 500]",5,0.00010722708
DNN,[32 32 32 32 32],"[0, 0, 0, 500]",7,2.9639472e-05
DNN,[32 32 32 32 32],"[0, 0, 0, 500]",9,3.7628935e-05
DNN,[32 32 32 32 32],"[0, 0, 0, 500]",11,1.067674e-05
DNN,[32 32 32 32 32],"[0, 0, 0, 500]",13,3.2551015e-05
DNN,[32 32 32 32 32],"[0, 0, 0, 500]",15,1.8362816e-05
DNN,[32 32 32 32 32],"[0, 0, 0, 500]",17,3.5481677e-05
DNN,[32 32 32 32 32],"[0, 0, 0, 500]",19,1.2975419e-05
DNN,[32 32 32 32 32],"[0, 0, 0, 500]",21,1.0149906e-05
DNN,[32 32 32 32 32],"[0, 0, 0, 500]",23,1.03281e-05
DNN,[32 32 32 32 32],"[0, 0, 0, 500]",25,1.2974105e-05
DNN,[32 32 32 32 32],"[0, 0, 0, 500]",27,9.023386e-06
DNN,[32 32 32 32 32],"[0, 0, 0, 500]",29,2.9426466e-05
DNN,[32 32 32 32 32 32],"[0, 0, 0, 500]",1,0.7604123
DNN,[32 32 32 32 32 32],"[0, 0, 0, 500]",3,0.0010642511
DNN,[32 32 32 32 32 32],"[0, 0, 0, 500]",5,0.0001078528
DNN,[32 32 32 32 32 32],"[0, 0, 0, 500]",7,1.1987643e-05
DNN,[32 32 32 32 32 32],"[0, 0, 0, 500]",9,0.02633547
DNN,[32 32 32 32 32 32],"[0, 0, 0, 500]",11,0.026334338
DNN,[32 32 32 32 32 32],"[0, 0, 0, 500]",13,9.756517e-06
DNN,[32 32 32 32 32 32],"[0, 0, 0, 500]",15,1.0133808e-05
DNN,[32 32 32 32 32 32],"[0, 0, 0, 500]",17,0.0011059294
DNN,[32 32 32 32 32 32],"[0, 0, 0, 500]",19,0.020372476
DNN,[32 32 32 32 32 32],"[0, 0, 0, 500]",21,1.301365e-05
DNN,[32 32 32 32 32 32],"[0, 0, 0, 500]",23,0.0011059281
DNN,[32 32 32 32 32 32],"[0, 0, 0, 500]",25,9.9514655e-06
DNN,[32 32 32 32 32 32],"[0, 0, 0, 500]",27,1.4930588e-05
DNN,[32 32 32 32 32 32],"[0, 0, 0, 500]",29,1.0336035e-05
Res,[32 32 32 32 32],"[0, 0, 0, 500]",1,0.025293047
Res,[32 32 32 32 32],"[0, 0, 0, 500]",3,0.001064259
Res,[32 32 32 32 32],"[0, 0, 0, 500]",5,0.00010750819
Res,[32 32 32 32 32],"[0, 0, 0, 500]",7,1.2341597e-05
Res,[32 32 32 32 32],"[0, 0, 0, 500]",9,8.804782e-06
Res,[32 32 32 32 32],"[0, 0, 0, 500]",11,1.0585601e-05
Res,[32 32 32 32 32],"[0, 0, 0, 500]",13,9.86428e-06
Res,[32 32 32 32 32],"[0, 0, 0, 500]",15,1.31162815e-05
Res,[32 32 32 32 32],"[0, 0, 0, 500]",17,1.0292494e-05
Res,[32 32 32 32 32],"[0, 0, 0, 500]",19,1.0732722e-05
Res,[32 32 32 32 32],"[0, 0, 0, 500]",21,9.4110055e-06
Res,[32 32 32 32 32],"[0, 0, 0, 500]",23,1.0298798e-05
Res,[32 32 32 32 32],"[0, 0, 0, 500]",25,1.0533954e-05
Res,[32 32 32 32 32],"[0, 0, 0, 500]",27,2.3701634e-05
Res,[32 32 32 32 32],"[0, 0, 0, 500]",29,1.0420285e-05
